player,position,GP,G,A,TP,PPG,PIM,Plus/Minus,contract
Tyler Johnson,C,71,53,62,115,1.62,48,27,0
Brendan Shinnimin,C,60,34,62,96,1.6,84,20,0
Jonathan Parker,RW,71,45,41,86,1.21,45,-8,0
Dylan Hood,C,71,33,50,83,1.17,61,8,0
Andrej Kudrna,LW,65,29,53,82,1.26,26,24,0
Adam Hughesman,LW,60,39,42,81,1.35,59,20,0
Matt MacKay,C,71,29,51,80,1.13,44,18,0
Dylan Wruck,LW,71,38,40,78,1.1,44,25,0
Kevin King,RW,68,33,43,76,1.12,88,26,0
Matt Fraser,LW,66,36,38,74,1.12,115,24,0
Wacey Hamilton,C,67,20,53,73,1.09,113,16,0
Thomas Frazee,C,70,31,41,72,1.03,100,-18,0
Burke Gallimore,RW,71,34,36,70,0.99,35,-26,0
Justin Maylan,C,66,21,48,69,1.05,49,13,0
Brandon Herrod,RW,71,28,40,68,0.96,26,-14,0
Kruise Reddick,C,63,20,48,68,1.08,61,9,0
Justin Dowling,C,63,20,47,67,1.06,18,-11,0
Tyler Maxwell,C,68,41,25,66,0.97,59,8,0
Jordan Hickmott,C,72,28,38,66,0.92,58,0,0
Spencer Edwards,RW,63,27,39,66,1.05,62,24,0
Shayne Wiebe,C,72,44,21,65,0.9,60,6,0
Kellan Tochkin,RW,70,29,35,64,0.91,68,7,0
Jake Trask,C,70,30,33,63,0.9,18,22,0
Justin Feser,C,72,26,37,63,0.88,34,22,0
Sena Acolatse,D,67,15,48,63,0.94,130,0,0
Cameron Braes,C,71,31,30,61,0.86,109,-3,0
Brett Ferguson,LW,72,23,38,61,0.85,111,29,0
Charles Inglis,C,69,32,28,60,0.87,141,6,0
Brenden Dillon,D,72,8,51,59,0.82,139,-25,0
Robin Soudek,RW,61,25,32,57,0.93,70,-11,0
Sebastian Svendsen,C,74,27,29,56,0.76,62,-12,0
T.J. Foster,C,66,25,29,54,0.82,22,11,0
Austin Fyten,LW,52,24,30,54,1.04,103,9,0
Zach Franko,LW,72,22,31,53,0.74,22,7,0
Brandon Manning,D,53,21,32,53,1,129,-4,0
Nick Buonassisi,C,71,18,35,53,0.75,66,-6,0
Tyler Schmidt,D,70,11,42,53,0.76,159,28,0
Brenden Walker,RW,70,25,27,52,0.74,43,-9,0
Ryan Harrison,C,69,21,31,52,0.75,102,8,0
Mitch Maxwell,LW,72,19,33,52,0.72,88,-18,0
James Dobrowolski,LW,72,18,34,52,0.72,48,-3,0
Brad Hoban,RW,71,25,26,51,0.72,34,-24,0
Igor Revenko,RW,57,23,28,51,0.89,36,1,0
Neil Manning,D,72,15,36,51,0.71,68,-3,0
Steven Kuhn,C,72,20,30,50,0.69,35,-1,0
Jesse Ismond,LW,72,15,34,49,0.68,118,0,0
Collin Bowman,D,72,11,38,49,0.68,104,2,0
Jordan DePape,RW,54,21,27,48,0.89,49,-6,0
Luke Lockhart,RW,71,21,27,48,0.68,27,-14,0
Taylor Vause,C,62,18,29,47,0.76,8,-25,0
Jordan Messier,RW,58,26,20,46,0.79,60,15,0
Anthony Bardaro,C,63,24,22,46,0.73,30,14,0
Chris Collins,C,69,19,27,46,0.67,27,26,0
Chase Schaber,LW,46,16,29,45,0.98,87,3,0
Dylan Willick,RW,72,24,20,44,0.61,53,-17,0
Connor Rankin,C,70,19,25,44,0.63,33,13,0
Brent Benson,C,65,14,30,44,0.68,52,16,0
Dalibor Bortnak,C,57,13,31,44,0.77,64,-10,0
J.T. Barnett,LW,72,13,30,43,0.6,37,-20,0
Hampus Gustafsson,LW,70,10,33,43,0.61,36,4,0
Justin Kirsch,LW,66,25,17,42,0.64,16,-20,0
Antonín Honejsek,LW,46,22,20,42,0.91,18,7,0
Matt Marantz,RW,68,20,22,42,0.62,62,21,0
Thomas Carr,D,71,7,34,41,0.58,71,23,0
Blake Gal,RW,70,23,17,40,0.57,59,-2,0
Stepan Novotny,C,58,22,18,40,0.69,35,-21,0
Joe Antilla,LW,72,21,19,40,0.56,59,33,0
Mikhail Fisenko,C,64,8,32,40,0.63,55,-23,0
Travis Toomey,C,71,22,17,39,0.55,137,-18,0
Brendan Rowinski,C,48,15,24,39,0.81,32,-10,0
James Henry,LW,50,14,25,39,0.78,103,1,0
Colin Reddin,D,69,7,32,39,0.57,62,-32,0
Todd Fiddler,LW,70,23,15,38,0.54,18,-2,0
Jamie Crooks,LW,72,19,19,38,0.53,37,-1,0
Adam Kambeitz,LW,72,15,23,38,0.53,93,22,0
Steele Boomer,C,56,14,22,36,0.64,52,13,0
Lane Scheidl,LW,68,13,23,36,0.53,27,2,0
Mason Wilgosh,C,48,12,24,36,0.75,28,19,0
Charles Wells,C,63,12,24,36,0.57,28,8,0
Bronson Maschmeyer,D,72,8,27,35,0.49,59,-20,0
Parker Stanfield,RW,64,13,21,34,0.53,57,-10,0
Jacob Berglund,C,61,18,15,33,0.54,29,-15,0
Mitch Holmberg,RW,58,15,18,33,0.57,12,6,0
Cody Sylvester,C,59,18,14,32,0.54,63,-20,0
Oliver Gabriel,LW,41,11,21,32,0.78,36,6,0
Brady Brassart,C,65,8,24,32,0.49,70,14,0
Cody Carlson,D,68,6,26,32,0.47,78,-12,0
Turner Elson,LW,68,16,15,31,0.46,124,27,0
Michael Piluso,C,65,14,17,31,0.48,51,-2,0
Elgin Pearce,C,69,12,19,31,0.45,35,4,0
Jordan Peddle,C,70,11,20,31,0.44,132,15,0
Max Ross,D,70,15,15,30,0.43,128,-24,0
Cody Chikie,C,68,13,17,30,0.44,57,-3,0
Andrej Stastny,C,32,10,20,30,0.94,40,2,0
Nathan MacMaster,LW,69,10,20,30,0.43,55,-23,0
Colin Archer,D,68,6,24,30,0.44,138,40,0
Spencer Asuchak,C,59,17,12,29,0.49,36,-4,0
Greg Fraser,C,72,16,13,29,0.4,43,-25,0
Brandon Magee,C,65,12,17,29,0.45,78,15,0
James Martin,D,65,11,18,29,0.45,68,18,0
Brendan Rouse,C,72,11,18,29,0.4,24,-17,0
Antoine Corbin,D,56,8,21,29,0.52,106,-18,0
Michael Burns,RW,65,15,13,28,0.43,55,10,0
Cole Grbavac,RW,67,13,15,28,0.42,148,1,0
Kenton Miller,C,55,10,18,28,0.51,44,5,0
Joshua Lazowski,C,32,9,19,28,0.88,10,2,0
Brodie Melnychuk,D,58,7,21,28,0.48,22,-9,0
Jace Coyle,D,49,6,22,28,0.57,42,18,0
Jordan Rowley,D,55,5,23,28,0.51,53,-10,0
Darren Bestland,D,68,5,23,28,0.41,137,-24,0
Kevin Smith,D,72,5,23,28,0.39,47,-8,0
Daulton Siwak,C,72,13,14,27,0.38,49,4,0
Spencer Main,C,71,10,17,27,0.38,64,2,0
Brock Hirsche,C,66,8,19,27,0.41,25,-7,0
Rhett Rachinski,LW,63,8,18,26,0.41,48,-5,0
Brennan Yadlowski,D,73,6,20,26,0.36,90,4,0
Mark Reners,RW,50,15,10,25,0.5,19,-4,0
Joey Kornelsen,C,61,11,14,25,0.41,35,-9,0
Trevor Cheek,LW,57,10,15,25,0.44,37,-15,0
Jesse Paradis,LW,70,9,16,25,0.36,43,-9,0
Collin Valcourt,LW,53,8,17,25,0.47,95,18,0
Stephane Legault,LW,57,7,18,25,0.44,27,7,0
Landon Oslanski,D,70,7,18,25,0.36,92,-29,0
Alexander Kuvayev,RW,58,11,13,24,0.41,32,-3,0
David Conrad,LW,69,10,14,24,0.35,55,-1,0
Russell Maxwell,C,69,9,15,24,0.35,57,-1,0
Joshua Winquist,LW,65,8,16,24,0.37,22,-1,0
Clayton Cumiskey,C,60,7,17,24,0.4,41,-20,0
Zak Stebner,D,63,7,17,24,0.38,40,6,0
Hayden Rintoul,D,51,5,19,24,0.47,51,16,0
Nathan Burns,LW,59,14,9,23,0.39,52,3,0
Graham Hood,LW,64,9,14,23,0.36,93,-21,0
Sam Fioretti,C,67,8,15,23,0.34,40,-1,0
Christian Magnus,RW,66,6,17,23,0.35,31,-7,0
Connor Cox,D,67,6,17,23,0.34,33,11,0
Mike Reddington,D,68,5,18,23,0.34,99,-18,0
James Bettauer,D,70,5,18,23,0.33,62,-12,0
Tyler Vanscourt,D,57,4,19,23,0.4,49,3,0
Brock Sutherland,D,72,4,19,23,0.32,69,4,0
Scott MacDonald,LW,69,9,13,22,0.32,40,-20,0
Jason Swyripa,C,72,9,13,22,0.31,25,-18,0
Klarc Wilson,RW,66,8,14,22,0.33,109,-11,0
Adrian Van de Mosselaer,D,66,7,15,22,0.33,137,5,0
Ben Wilson,D,72,4,18,22,0.31,108,-37,0
Killian Hutt,RW,31,11,10,21,0.68,10,-4,0
Dylan Busenius,D,63,7,14,21,0.33,33,14,0
Philip Tot,LW,58,6,15,21,0.36,27,-14,0
Greg Lamoureux,RW,60,5,16,21,0.35,39,-10,0
Daniel Gayle,LW,67,5,16,21,0.31,41,-21,0
Jagger Dirk,D,71,5,15,20,0.28,46,19,0
Teal Burns,C,62,4,16,20,0.32,54,3,0
Kyle Verdino,D,67,4,16,20,0.3,156,-20,0
Reid Jackson,D,51,3,17,20,0.39,64,-17,0
Mark Schneider,D,67,3,17,20,0.3,28,-51,0
Corbin Baldwin,D,71,2,18,20,0.28,110,5,0
Dallas Ehrhardt,D,55,1,19,20,0.36,74,4,0
Tyler Fiddler,LW,41,9,10,19,0.46,58,-16,0
Tanner Olstad,C,59,9,10,19,0.32,36,-29,0
Colten Mayor,LW,65,8,11,19,0.29,38,8,0
Taylor Peters,C,72,8,11,19,0.26,47,5,0
Tyler Alos,C,67,6,13,19,0.28,33,-15,0
Daniel Johnston,D,66,4,15,19,0.29,66,-11,0
Chad Suer,D,53,0,19,19,0.36,24,-8,0
Reid Petryk,C,68,13,5,18,0.26,34,3,0
Paul Ciarelli,C,60,8,10,18,0.3,50,0,0
Andrew Herle,RW,70,7,11,18,0.26,87,-8,0
Derek Ryckman,D,65,5,13,18,0.28,105,-9,0
Nathan Deck,D,60,2,16,18,0.3,36,4,0
Shayne Neigum,D,64,11,6,17,0.27,194,-37,0
Curtis Valk,C,56,8,9,17,0.3,19,8,0
Marek Hrbas,D,64,5,12,17,0.27,30,-4,0
Spencer Humphries,D,58,4,13,17,0.29,94,-2,0
Matt Konan,D,61,4,13,17,0.28,69,18,0
Luke Paulsen,D,51,3,14,17,0.33,18,10,0
Michael Sofillas,C,64,3,14,17,0.27,15,-20,0
Davis Vandane,D,50,0,17,17,0.34,14,7,0
Dalton Sward,C,62,10,6,16,0.26,45,-1,0
Andrew Johnson,C,55,9,7,16,0.29,26,-2,0
Mike Forsyth,LW,68,8,8,16,0.24,37,-3,0
Mikael Jung,RW,69,8,8,16,0.23,11,-18,0
Mitch Topping,D,71,5,11,16,0.23,47,-9,0
Alex Roach,D,61,4,12,16,0.26,77,-24,0
Tanner Mort,D,63,3,13,16,0.25,44,-1,0
Andreas Stene,C,55,2,14,16,0.29,19,-3,0
Jesse Forsberg,D,57,2,14,16,0.28,144,4,0
Aaron Borejko,D,67,1,15,16,0.24,63,20,0
Andrew Rieder,C,57,9,6,15,0.26,55,-18,0
Colton Stephenson,C,50,7,8,15,0.3,18,-5,0
Cody Fowlie,RW,70,7,8,15,0.21,39,-7,0
Shane Danyluk,C,54,3,12,15,0.28,6,4,0
Scott McKay,D,64,3,12,15,0.23,52,20,0
Jordan Wyton,LW,72,3,12,15,0.21,98,-11,0
Taylor Makin,LW,48,7,7,14,0.29,43,3,0
Jari Erricson,LW,60,7,7,14,0.23,25,3,0
Tyson Ness,LW,68,7,7,14,0.21,11,14,0
Dyson Stevenson,W,64,6,8,14,0.22,72,-19,0
Travis Bobbee,D,54,5,9,14,0.26,22,-11,0
Curt Gogol,LW,62,5,9,14,0.23,201,-10,0
Andy Blanke,C,67,5,9,14,0.21,117,-25,0
Josh Cowen,RW,34,3,11,14,0.41,70,5,0
Jesse Pauls,D,21,1,13,14,0.67,29,1,0
Erik Bonsor,D,72,0,14,14,0.19,52,-14,0
Austin Connor,RW,59,8,5,13,0.22,104,-13,0
Brady Gaudet,D,56,6,7,13,0.23,41,-15,0
Chance Lund,LW,72,6,7,13,0.18,67,-15,0
Dominick Favreau,C,40,5,8,13,0.33,12,-5,0
Mitch Elliot,LW,72,5,8,13,0.18,118,-27,0
Jordan Evans,D,58,4,9,13,0.22,44,-25,0
Logan McVeigh,C,59,4,9,13,0.22,14,-7,0
Rene Hunter,D,66,3,10,13,0.2,50,4,0
Dylan Bredo,D,72,3,10,13,0.18,53,-1,0
Tyler Yaworski,D,65,2,11,13,0.2,181,-1,0
Mike Aviani,C,56,7,5,12,0.21,50,7,0
Brett Lyon,LW,56,5,7,12,0.21,192,-8,0
Jaroslav Vlach,LW,55,4,8,12,0.22,84,-13,0
Ryan Hanes,LW,70,4,8,12,0.17,167,-9,0
Manraj Singh Hayer,C,61,3,9,12,0.2,29,-7,0
Tyler Hansen,D,70,2,10,12,0.17,69,-9,0
Brad Deagle,D,55,0,12,12,0.22,51,12,0
Trevor Cameron,RW,33,6,5,11,0.33,28,-8,0
Mackenzie Royer,LW,35,6,5,11,0.31,46,-10,0
Lyndon Martell,F,37,6,5,11,0.3,18,1,0
Neal Prokop,C,17,4,7,11,0.65,23,3,0
Drydn Dow,D,53,4,7,11,0.21,12,7,0
Luke Fenske,D,55,4,7,11,0.2,64,-2,0
Wheaton King,LW,38,2,9,11,0.29,33,1,0
Reid Gow,D,41,2,9,11,0.27,29,9,0
Patrik Parkkonen,D,53,2,9,11,0.21,18,5,0
Brock Montgomery,RW,54,1,10,11,0.2,81,-11,0
Dave Sutter,D,71,1,10,11,0.15,65,-17,0
Ryley Miller,D,55,0,11,11,0.2,145,7,0
Michal Hlinka,C,45,5,5,10,0.22,21,2,0
Brendan Hurley,LW,57,5,5,10,0.18,114,-7,0
Erik Benoit,C,52,4,6,10,0.19,20,-3,0
Seth Swenson,RW,59,3,7,10,0.17,38,0,0
Kyle Schmidt,D,65,3,7,10,0.15,74,-36,0
Zach Hodder,D,25,2,8,10,0.4,9,-3,0
Boston Leier,LW,50,2,8,10,0.2,55,6,0
Colton Jobke,D,51,1,9,10,0.2,84,5,0
Brandon Underwood,D,58,0,10,10,0.17,97,-1,0
Jens Meilleur,RW,40,5,4,9,0.23,23,-12,0
Matt Grant,RW,58,5,4,9,0.16,26,-2,0
John Lawrence,LW,59,5,4,9,0.15,26,-21,0
Chase Clayton,C,55,3,6,9,0.16,35,-14,0
Art Bidlevskii,D,57,3,6,9,0.16,140,-16,0
Tayler Jordan,LW,60,3,6,9,0.15,121,2,0
Adam Rossignol,C,60,2,7,9,0.15,13,-8,0
Ryon Moser,LW,50,1,8,9,0.18,10,-14,0
Jeff Einhorn,D,58,1,8,9,0.16,43,10,0
Dillon Wagner,RW,25,5,3,8,0.32,31,-4,0
Brendan Persley,LW,43,5,3,8,0.19,62,-9,0
Bernhard Keil,RW,46,5,3,8,0.17,37,-6,0
Marek Kalus,LW,22,4,4,8,0.36,11,-5,0
Braeden Johnson,LW,31,3,5,8,0.26,8,-3,0
Brendan Santini,RW,45,2,6,8,0.18,30,-8,0
Joel Rogers,D,39,1,7,8,0.21,67,-10,0
Tyler Hart,D,44,1,7,8,0.18,80,8,0
Wilson Dumais,LW,55,1,7,8,0.15,63,1,0
Shane Pilling,D,56,1,7,8,0.14,34,-8,0
Dalton Reum,D,69,1,7,8,0.12,77,-11,0
Wes Vannieuwenhuizen,D,64,0,8,8,0.13,157,11,0
Jacob Doty,C,70,4,3,7,0.1,176,-3,0
Matt Needham,C,13,3,4,7,0.54,8,-1,0
Linden Saip,D,13,3,4,7,0.54,28,-5,0
Ryan Dech,D,48,3,4,7,0.15,54,-2,0
Tayler Thompson,C,50,3,4,7,0.14,4,-3,0
Rob Trzonkowski,RW,51,3,4,7,0.14,86,-15,0
Levi Bews,RW,52,3,4,7,0.13,30,-7,0
Dane Muench,LW,23,2,5,7,0.3,12,-5,0
Spencer Galbraith,RW,42,2,5,7,0.17,87,-4,0
Colton Heffley,C,44,2,5,7,0.16,36,2,0
Marcus Messier,C,48,2,5,7,0.15,6,0,0
Alex Elliott,LW,49,2,5,7,0.14,41,-7,0
Blair Wentworth,RW,58,2,5,7,0.12,57,-7,0
Mitch Spooner,D,33,1,6,7,0.21,6,-7,0
Peter Kosterman,D,68,1,6,7,0.1,65,-14,0
Austin Bourhis,LW,49,0,7,7,0.14,145,-9,0
Nils Moser,RW,41,5,1,6,0.15,39,-5,0
Tyler Giebel,C,49,4,2,6,0.12,15,1,0
Matt Bellerive,RW,50,4,2,6,0.12,28,-7,0
Michael Brown,RW,8,3,3,6,0.75,7,3,0
Max Adolph,C,36,3,3,6,0.17,20,-8,0
Cain Franson,LW,50,3,3,6,0.12,16,-5,0
Jessey Astles,LW,59,3,3,6,0.1,129,-3,0
Trent Ouellette,C,67,3,3,6,0.09,40,-25,0
Mitchell Chapman,D,48,2,4,6,0.13,81,13,0
Chad Robinson,C,50,2,4,6,0.12,17,5,0
Connor Sanvido,RW,51,2,4,6,0.12,17,-4,0
Braeden Laroque,D,54,2,4,6,0.11,32,-13,0
Markus McCrea,LW,64,2,4,6,0.09,56,-11,0
Mark Mieritz,RW,31,1,5,6,0.19,18,-9,0
Graeme Craig,D,72,1,5,6,0.08,122,-19,0
Garrett Leedahl,D,14,0,6,6,0.43,10,-1,0
Tanner Sohn,D,33,0,6,6,0.18,20,-8,0
Tim Traber,RW,45,0,6,6,0.13,88,-12,0
Cason Machacek,D,65,0,6,6,0.09,183,-11,0
Chase Souto,RW,49,4,1,5,0.1,62,-5,0
T.C. Cratsenberg,C,54,4,1,5,0.09,102,-1,0
Steve Oursov,C,18,3,2,5,0.28,11,-2,0
Campbell Elynuik,LW,28,3,2,5,0.18,54,-9,0
Locke Muller,RW,40,3,2,5,0.13,59,-2,0
Paul Sohor,D,56,3,2,5,0.09,58,0,0
Sam Dezman,LW,28,2,3,5,0.18,18,9,0
Tyler Kizuik,D,37,2,3,5,0.14,13,-11,0
Tanner Muth,D,42,2,3,5,0.12,47,-23,0
Cole Hamblin,D,12,1,4,5,0.42,6,6,0
Juraj Roznik,RW,24,1,4,5,0.21,8,-6,0
Evan Morden,D,53,1,4,5,0.09,30,-1,0
John Neibrandt,D,65,1,4,5,0.08,42,5,0
Daniel Gibb,D,70,1,4,5,0.07,58,-16,0
Zach Habscheid,D,45,0,5,5,0.11,68,-8,0
Neil Tarnasky,C,55,3,1,4,0.07,65,-14,0
Jon Gaudet,RW,10,2,2,4,0.4,6,2,0
Vahe Zakaryan,RW,17,2,2,4,0.24,4,5,0
Brayden Cuthbert,C,39,2,2,4,0.1,2,-6,0
MacKenzie Johnston,D,58,2,2,4,0.07,14,-10,0
Brendon Wall,D,20,1,3,4,0.2,10,-3,0
Riley Reinbolt,C,21,1,3,4,0.19,23,-5,0
Matthew Pufahl,D,31,1,3,4,0.13,11,10,0
Josh Derko,LW,44,1,3,4,0.09,33,-12,0
Brady Ramsay,RW,57,1,3,4,0.07,43,-18,0
Tyler Borstmayer,D,42,0,4,4,0.1,20,-9,0
Josh Smith,D,44,0,4,4,0.09,98,4,0
Max Moline,C,53,0,4,4,0.08,42,-8,0
Jesse Sinatynski,C,10,2,1,3,0.3,8,0,0
Jason Trott,C,32,2,1,3,0.09,14,-2,0
Mathew Berry-Lamontagna,D,34,2,1,3,0.09,14,-2,0
Carter Berg,D,36,2,1,3,0.08,46,-15,0
Taylor Cote,RW,12,1,2,3,0.25,15,0,0
David Stephens,C,30,1,2,3,0.1,24,1,0
Gal Koren,C,36,1,2,3,0.08,24,-4,0
Josh Hanson,D,43,1,2,3,0.07,10,-1,0
Brock Balson,RW,48,1,2,3,0.06,13,-16,0
Shea Howorko,F,61,1,2,3,0.05,61,-12,0
Jesse Zgraggen,D,62,1,2,3,0.05,27,-9,0
Jason Siebert,LW,16,0,3,3,0.19,4,1,0
Scott Ramsay,D,39,0,3,3,0.08,75,-9,0
Erik Fleming,D,50,0,3,3,0.06,8,-20,0
Sam Grist,D,56,0,3,3,0.05,107,-11,0
Brett Stovin,RW,6,2,0,2,0.33,0,0,0
Caleb Belter,RW,39,2,0,2,0.05,10,-1,0
Tyler Paslawski,RW,9,1,1,2,0.22,0,0,0
Michael Sagen,LW,26,1,1,2,0.08,19,-5,0
Josh Caron,D,27,1,1,2,0.07,47,-3,0
Ryan Bloom,RW,29,1,1,2,0.07,0,-5,0
Lucas Grayson,D,40,1,1,2,0.05,71,5,0
Casper Carning,C,6,0,2,2,0.33,2,0,0
Dylan Fluter,RW,9,0,2,2,0.22,2,-3,0
Austin Daae,LW,11,0,2,2,0.18,11,-2,0
Jesse Pearson,D,18,0,2,2,0.11,29,-4,0
Tyler Pavkovich,D,27,0,2,2,0.07,10,-12,0
Ryan Aasman,D,41,0,2,2,0.05,6,-11,0
Justin Hickman,RW,46,0,2,2,0.04,51,-20,0
Connor Chartier,RW,1,1,0,1,1,0,2,0
Marc McCoy,C,1,1,0,1,1,2,1,0
Gasper Kopitar,W,2,1,0,1,0.5,0,-1,0
Pearce Eviston,RW,2,1,0,1,0.5,0,0,0
Zach McPhee,RW,12,1,0,1,0.08,2,-2,0
Connor Redmond,LW,15,1,0,1,0.07,22,-4,0
Keaton Lubin,D,36,1,0,1,0.03,23,-15,0
Joey Frazer,RW,1,0,1,1,1,0,-1,0
Kade Pilton,D,2,0,1,1,0.5,0,0,0
Shayne Gwinner,D,3,0,1,1,0.33,0,1,0
Bruin McDonald,D,3,0,1,1,0.33,2,-3,0
Brenden Kichton,D,64,23,58,81,1.27,31,55,1
Myles Bell,LW,66,14,31,45,0.68,86,-14,1
Hunter Shinkaruk,C,63,14,28,42,0.67,24,13,1
Ryan Pulock,D,63,8,34,42,0.67,4,2,1
JC Lipon,RW,65,3,18,21,0.32,111,-26,1
Eric Roy,D,49,4,15,19,0.39,15,11,1
Lukas Sutter,C,71,4,15,19,0.27,179,1,1
Sam Reinhart,C,4,2,0,2,0.5,0,4,1
Tyrell Goulbourne,LW,13,1,0,1,0.08,27,2,1
Cole Ully,LW,1,0,1,1,1,0,0,1
Nic Petan,C,3,0,1,1,0.33,0,1,1
Madison Bowey,D,3,0,1,1,0.33,4,2,1
Morgan Klimchuk,LW,5,0,1,1,0.2,0,-1,1
Curtis Lazar,C,6,0,1,1,0.17,0,2,1
Kyle Burroughs,D,1,0,0,0,0,0,0,1
Dillon Heatherington,D,1,0,0,0,0,0,0,1
Colby Williams,D,2,0,0,0,0,0,1,1
Mason Geertsen,D,3,0,0,0,0,2,-1,1
Tanner Faith,D,4,0,0,0,0,2,0,1
Shea Theodore,D,4,0,0,0,0,2,-2,1
Josh Morrissey,D,5,0,0,0,0,4,-3,1
Greg Chase,C,5,0,0,0,0,6,0,1
Brendan Shinnimin,C,69,58,76,134,1.94,82,45,0
Adam Hughesman,LW,72,50,66,116,1.61,42,40,0
Justin Maylan,C,72,26,63,89,1.24,62,-6,0
Justin Feser,C,72,37,46,83,1.15,43,17,0
Taylor Vause,C,72,37,46,83,1.15,12,-1,0
Cameron Braes,C,74,41,41,82,1.11,80,-6,0
Brenden Walker,RW,68,26,55,81,1.19,61,16,0
Dylan Wruck,LW,66,21,59,80,1.21,17,35,0
T.J. Foster,C,69,31,45,76,1.1,26,38,0
Anthony Bardaro,C,63,36,38,74,1.17,33,-11,0
Tyler Maxwell,C,66,37,34,71,1.08,42,32,0
James Henry,LW,69,16,55,71,1.03,96,1,0
Brandon Herrod,RW,68,29,41,70,1.03,25,-6,0
Cody Sylvester,C,66,23,45,68,1.03,76,27,0
Jamie Crooks,LW,72,37,30,67,0.93,32,-18,0
Brady Brassart,C,70,25,34,59,0.84,106,21,0
Jake Trask,C,62,23,36,59,0.95,34,9,0
Cain Franson,LW,70,27,31,58,0.83,31,26,0
James Bettauer,D,74,21,37,58,0.78,30,17,0
Robin Soudek,RW,65,27,30,57,0.88,114,-31,0
Alexander Gogolev,LW,69,25,32,57,0.83,34,17,0
Michael Burns,RW,65,23,34,57,0.88,73,22,0
Justin Kirsch,LW,57,20,36,56,0.98,19,-4,0
Mitch Holmberg,RW,66,27,28,55,0.83,8,9,0
Lane Scheidl,LW,70,27,28,55,0.79,57,24,0
Curtis Valk,C,67,24,31,55,0.82,35,-1,0
Jesse Ismond,LW,71,16,39,55,0.77,105,10,0
Dylan Willick,RW,72,28,26,54,0.75,31,19,0
Matt Konan,D,72,9,45,54,0.75,73,21,0
Brad Hoban,RW,69,21,32,53,0.77,20,-22,0
Kenton Miller,C,69,35,17,52,0.75,51,7,0
Chase Schaber,LW,61,23,29,52,0.85,71,22,0
Ryan Harrison,C,70,20,32,52,0.74,103,5,0
Hayden Rintoul,D,72,17,34,51,0.71,54,-40,0
Rhett Rachinski,LW,72,27,23,50,0.69,71,10,0
Alessio Bertaggia,LW,64,24,26,50,0.78,62,6,0
Trevor Cheek,LW,67,23,26,49,0.73,75,6,0
Nick Buonassisi,C,69,16,33,49,0.71,78,-8,0
Jesse Paradis,LW,72,15,34,49,0.68,32,-1,0
Brandon Magee,C,65,23,24,47,0.72,46,-32,0
Sam Fioretti,C,65,21,26,47,0.72,42,11,0
Turner Elson,LW,55,21,25,46,0.84,59,-7,0
Steven Kuhn,C,72,13,33,46,0.64,67,-1,0
