player,position,GP,G,A,TP,PPG,PIM,Plus/Minus,contract
Collin Bowman,D,68,15,30,45,0.66,70,20,0
Philip Tot,LW,61,14,31,45,0.74,37,-24,0
Mike Aviani,C,70,13,32,45,0.64,80,28,0
Brock Montgomery,RW,72,22,22,44,0.61,78,12,0
Jordan Messier,RW,66,18,26,44,0.67,71,-8,0
Joe Antilla,LW,71,14,30,44,0.62,62,13,0
Bronson Maschmeyer,D,72,15,28,43,0.6,50,26,0
Oliver Gabriel,LW,39,20,22,42,1.08,32,14,0
Marek Kalus,LW,68,20,22,42,0.62,38,7,0
Charles Inglis,C,52,19,23,42,0.81,92,-10,0
Ryon Moser,LW,68,15,27,42,0.62,10,2,0
Neil Manning,D,59,7,35,42,0.71,50,8,0
Brady Ramsay,RW,61,23,18,41,0.67,85,-25,0
Joshua Winquist,LW,68,19,22,41,0.6,45,-7,0
Connor Cox,D,65,3,38,41,0.63,35,26,0
Burke Gallimore,RW,72,22,18,40,0.56,48,-30,0
Alex Forsberg,LW,51,15,25,40,0.78,30,-9,0
Cody Fowlie,RW,72,14,26,40,0.56,68,-14,0
Connor Rankin,C,62,18,21,39,0.63,24,19,0
Reid Petryk,C,75,18,21,39,0.52,90,-16,0
Stephane Legault,LW,58,15,24,39,0.67,44,22,0
Daniel Gayle,LW,61,15,24,39,0.64,44,10,0
Kohl Bauml,C,71,14,25,39,0.55,22,-4,0
Zach Franko,LW,72,14,25,39,0.54,24,-3,0
Cody Carlson,D,72,9,30,39,0.54,88,-26,0
Blake Gal,RW,68,15,23,38,0.56,27,5,0
Colten Mayor,LW,52,14,24,38,0.73,62,-2,0
Matt Marantz,RW,68,13,25,38,0.56,38,-18,0
Taylor Peters,C,72,12,26,38,0.53,60,-2,0
Mason Wilgosh,C,59,9,29,38,0.64,20,12,0
Spencer Humphries,D,62,8,30,38,0.61,107,17,0
Graham Hood,LW,68,16,21,37,0.54,128,-14,0
Luke Lockhart,RW,72,16,21,37,0.51,33,-37,0
Kellan Tochkin,RW,39,14,23,37,0.95,46,5,0
Brent Benson,C,62,13,24,37,0.6,31,-2,0
Andrew Johnson,C,62,13,24,37,0.6,46,-3,0
Carter Rigby,LW,65,21,15,36,0.55,90,-14,0
Spencer Asuchak,C,71,18,18,36,0.51,71,-7,0
Brett Lyon,LW,66,13,23,36,0.55,164,10,0
Chad Robinson,C,67,8,28,36,0.54,32,6,0
Dylan Bredo,D,72,5,31,36,0.5,51,19,0
Elgin Pearce,C,69,21,14,35,0.51,29,-8,0
Dyson Stevenson,W,59,15,20,35,0.59,102,5,0
Tyson Ness,LW,70,20,14,34,0.49,21,-4,0
Nathan Burns,LW,55,12,22,34,0.62,50,-7,0
Matt Needham,C,61,12,22,34,0.56,49,9,0
Logan McVeigh,C,66,11,23,34,0.52,26,-11,0
Ben Walker,C,46,8,26,34,0.74,27,2,0
Cody Chikie,C,60,18,15,33,0.55,49,-13,0
Boston Leier,LW,69,15,18,33,0.48,71,11,0
Corbin Baldwin,D,69,6,27,33,0.48,128,35,0
Chance Lund,LW,67,15,17,32,0.48,26,-11,0
Zane Jones,LW,68,14,18,32,0.47,64,-18,0
Dominik Volek,W,70,14,18,32,0.46,32,0,0
Jayden Hart,C,67,13,19,32,0.48,49,-4,0
Eric Arnold,LW,70,13,19,32,0.46,20,19,0
Tyler Vanscourt,D,70,12,20,32,0.46,67,-8,0
Landon Oslanski,D,71,6,26,32,0.45,94,-31,0
Adam Kambeitz,LW,45,19,12,31,0.69,68,-2,0
Russell Maxwell,C,72,15,16,31,0.43,66,-21,0
Erik Benoit,C,66,14,17,31,0.47,31,14,0
Collin Valcourt,LW,69,16,14,30,0.43,94,4,0
Paul Ciarelli,C,67,15,15,30,0.45,69,7,0
Cole Grbavac,RW,65,13,17,30,0.46,113,2,0
Sam McKechnie,RW,72,13,17,30,0.42,48,-6,0
Daniel Johnston,D,55,2,28,30,0.55,64,0,0
Colton Jobke,D,71,10,19,29,0.41,104,2,0
Jagger Dirk,D,72,7,22,29,0.4,101,22,0
Jaimen Yakubowski,LW,68,16,12,28,0.41,102,4,0
Todd Fiddler,LW,73,12,16,28,0.38,24,3,0
Tanner Eberle,LW,66,10,18,28,0.42,82,14,0
Tyson Baillie,C,68,10,18,28,0.41,33,11,0
Taylor Makin,LW,58,8,20,28,0.48,128,8,0
Greg Fraser,C,68,16,11,27,0.4,55,-26,0
Chase Clayton,C,57,12,15,27,0.47,35,-1,0
Malte Strömwall,RW,64,11,16,27,0.42,33,0,0
Liam Stewart,C,66,14,12,26,0.39,14,8,0
Joey Kornelsen,C,63,10,16,26,0.41,27,9,0
Chris Collins,C,56,7,19,26,0.46,14,-2,0
Cody Corbett,D,54,6,20,26,0.48,24,36,0
Andrew Rieder,C,52,13,12,25,0.48,35,8,0
Antoine Corbin,D,71,12,13,25,0.35,112,-17,0
Jordan Peddle,C,70,10,15,25,0.36,102,-5,0
Klarc Wilson,RW,67,7,18,25,0.37,109,0,0
Davis Vandane,D,68,3,22,25,0.37,42,14,0
Marek Hrbas,D,67,1,24,25,0.37,12,13,0
Christian Magnus,RW,62,12,12,24,0.39,30,0,0
Seth Swenson,RW,67,11,13,24,0.36,36,-34,0
Dylan Walchuk,F,34,10,14,24,0.71,25,3,0
Calder Brooks,LW,53,5,19,24,0.45,42,8,0
Brennan Yadlowski,D,59,4,20,24,0.41,91,-16,0
Jay Merkley,C,58,12,11,23,0.4,8,-17,0
Chase Witala,LW,62,9,14,23,0.37,12,-19,0
Brian Williams,C,62,8,15,23,0.37,33,0,0
Scott McKay,D,68,6,17,23,0.34,73,-5,0
Daulton Siwak,C,46,15,7,22,0.48,12,-10,0
Justin Hickman,RW,71,12,10,22,0.31,106,-19,0
Dalton Sward,C,54,11,11,22,0.41,50,2,0
Ryan Hanes,LW,55,8,14,22,0.4,72,12,0
Brendan Rouse,C,48,5,17,22,0.46,16,-10,0
Patrik Parkkonen,D,57,5,17,22,0.39,12,12,0
Dallas Ehrhardt,D,67,4,18,22,0.33,78,-3,0
Reid Gow,D,54,2,20,22,0.41,35,-5,0
Tyler Hansen,D,71,1,21,22,0.31,87,38,0
Brett Stovin,RW,69,13,8,21,0.3,20,-17,0
Connor Honey,RW,46,10,11,21,0.46,44,-16,0
Cory Millette,LW,56,9,12,21,0.38,24,-4,0
Adam Rossignol,C,71,9,12,21,0.3,49,-4,0
Juraj Bezúch,C,67,8,13,21,0.31,11,-4,0
Brooks Maxwell,RW,54,6,15,21,0.39,18,-7,0
Jamal Watson,LW,69,5,16,21,0.3,33,-4,0
Adam Henry,D,60,4,17,21,0.35,47,-2,0
Brad Deagle,D,67,3,18,21,0.31,65,-14,0
Chase Souto,RW,57,11,9,20,0.35,62,1,0
Jordan Tkatch,C,63,11,9,20,0.32,29,-12,0
Levi Bews,RW,68,10,10,20,0.29,53,-7,0
Macoy Erkamps,D,63,4,16,20,0.32,62,-23,0
Mitch Topping,D,66,4,16,20,0.3,46,11,0
Tyler Yaworski,D,71,3,17,20,0.28,188,-19,0
Jesse Mychan,LW,44,10,9,19,0.43,126,1,0
Brodie Melnychuk,D,59,8,11,19,0.32,31,16,0
Jari Erricson,LW,69,6,13,19,0.28,60,-12,0
Dalton Reum,D,71,6,13,19,0.27,50,-6,0
Dave Sutter,D,66,5,14,19,0.29,40,-36,0
Dakota Conroy,RW,67,11,7,18,0.27,33,-18,0
Sean Aschim,C,37,9,9,18,0.49,27,2,0
Dominick Favreau,C,43,9,9,18,0.42,19,-6,0
J.T. Barnett,LW,36,8,10,18,0.5,8,-9,0
Carter Hansen,D,52,8,10,18,0.35,12,-6,0
Lyndon Martell,F,53,6,12,18,0.34,26,10,0
Joel Hamilton,C,44,5,13,18,0.41,26,6,0
Aspen Sterzer,LW,63,5,13,18,0.29,35,2,0
Alex Roach,D,61,4,14,18,0.3,78,8,0
Bruno Mráz,C,63,2,16,18,0.29,16,-12,0
Torrin White,RW,62,10,7,17,0.27,16,3,0
Connor Sanvido,RW,58,8,9,17,0.29,19,-23,0
Caleb Belter,RW,60,7,10,17,0.28,7,-11,0
Austin Vetterl,RW,60,7,10,17,0.28,27,0,0
Riley Kieser,C,31,6,11,17,0.55,22,8,0
Dominik Bittner,D,68,4,13,17,0.25,65,-3,0
Tyler Alos,C,59,3,14,17,0.29,28,-17,0
Shane Danyluk,C,51,7,9,16,0.31,15,-15,0
Jason Swyripa,C,67,6,10,16,0.24,44,-14,0
Colby Cave,C,70,6,10,16,0.23,36,-20,0
Jesse Lees,D,49,4,12,16,0.33,20,3,0
Brock Sutherland,D,70,2,14,16,0.23,58,30,0
Brady Gaudet,D,49,1,15,16,0.33,29,-5,0
Jake Mykitiuk,LW,69,6,9,15,0.22,46,-14,0
Anthony Ast,C,42,5,10,15,0.36,19,-13,0
Jordan Wyton,LW,66,4,11,15,0.23,84,-1,0
Mike Forsyth,LW,72,3,12,15,0.21,22,-30,0
Luke Paulsen,D,47,2,13,15,0.32,18,2,0
Cole Martin,D,67,1,14,15,0.22,39,-9,0
Trevor Cox,LW,57,10,4,14,0.25,14,5,0
Jordan DePape,RW,14,6,8,14,1,15,0,0
Matt Bellerive,RW,46,6,8,14,0.3,27,-2,0
Tristan Sieben,LW,34,5,9,14,0.41,32,9,0
Jens Meilleur,RW,56,5,9,14,0.25,45,-15,0
Campbell Elynuik,LW,60,5,9,14,0.23,156,-19,0
Trent Ouellette,C,70,5,9,14,0.2,64,-13,0
Connor Chartier,RW,60,4,10,14,0.23,21,9,0
Michal Hlinka,C,46,3,11,14,0.3,30,-4,0
John Neibrandt,D,69,2,12,14,0.2,41,18,0
Drydn Dow,D,72,2,12,14,0.19,73,24,0
Kevin Smith,D,27,1,13,14,0.52,16,-2,0
Brett Cote,D,65,1,13,14,0.22,12,-31,0
Dylan Busenius,D,72,1,13,14,0.19,44,-10,0
Josh Derko,LW,63,9,4,13,0.21,100,-19,0
Jesse Forsberg,D,58,6,7,13,0.22,132,-8,0
Kade Pilton,D,43,5,8,13,0.3,52,-25,0
Dillon Wagner,RW,51,5,8,13,0.25,49,-17,0
Michal Plutnar,D,62,4,9,13,0.21,63,5,0
Daniel Asham,C,63,4,9,13,0.21,13,-4,0
Kyle Verdino,D,28,3,10,13,0.46,68,-8,0
Ryan Dech,D,40,3,10,13,0.33,34,17,0
Brandon Underwood,D,54,3,10,13,0.24,76,6,0
Reid Jackson,D,55,3,10,13,0.24,67,-28,0
Alexander Kuvayev,RW,34,2,11,13,0.38,16,-7,0
Peter Kosterman,D,70,2,11,13,0.19,65,7,0
Josh Caron,D,63,1,12,13,0.21,159,0,0
Josh Hanson,D,72,0,13,13,0.18,25,6,0
Jonas Knutsen,C,49,6,6,12,0.24,52,-21,0
Jack Rodewald,RW,68,6,6,12,0.18,37,3,0
Craig Leverton,LW,42,5,7,12,0.29,32,2,0
Ryley Miller,D,67,5,7,12,0.18,139,-20,0
Jesse Pauls,D,26,3,9,12,0.46,20,-15,0
Tim Traber,RW,69,3,9,12,0.17,141,-30,0
Derek Ryckman,D,71,3,9,12,0.17,101,20,0
Ashton Sautner,D,59,2,10,12,0.2,38,29,0
Jesse Zgraggen,D,62,2,10,12,0.19,54,-18,0
Tyler Bell,D,54,1,11,12,0.22,61,19,0
Filip Vasko,LW,51,0,12,12,0.24,34,-1,0
Jordyn Boyd,LW,53,7,4,11,0.21,26,-17,0
Travis McEvoy,RW,64,6,5,11,0.17,41,-2,0
Mitchell Chapman,D,57,5,6,11,0.19,119,-11,0
Nathan MacMaster,LW,61,5,6,11,0.18,46,-12,0
Jarid Hauptman,C,32,4,7,11,0.34,30,1,0
Rhyse Dieno,RW,50,4,7,11,0.22,29,-6,0
Jarrett Fontaine,LW,64,4,7,11,0.17,16,-10,0
Nick Zajac,LW,64,4,7,11,0.17,67,-11,0
Andy Blanke,C,71,3,8,11,0.15,168,-12,0
Teal Burns,C,31,2,9,11,0.35,20,-13,0
Shayne Gwinner,D,51,2,9,11,0.22,51,12,0
Braeden Laroque,D,64,2,9,11,0.17,31,-25,0
Matthew Pufahl,D,44,1,10,11,0.25,21,2,0
Luke Fenske,D,58,1,10,11,0.19,92,6,0
Art Bidlevskii,D,69,0,11,11,0.16,124,13,0
Jon Martin,C,59,6,4,10,0.17,52,-11,0
Zach McPhee,RW,34,5,5,10,0.29,28,6,0
Dryden Hunt,LW,62,5,5,10,0.16,28,-3,0
Marc McCoy,C,63,5,5,10,0.16,51,-1,0
Colton Heffley,C,55,4,6,10,0.18,68,-16,0
Graeme Craig,D,56,4,6,10,0.18,65,-8,0
Levi Cable,LW,56,3,7,10,0.18,13,-5,0
Sam Grist,D,57,3,7,10,0.18,94,27,0
Ayrton Nikkel,D,59,3,7,10,0.17,72,-13,0
Wes Vannieuwenhuizen,D,69,3,7,10,0.14,152,-2,0
Locke Muller,RW,54,2,8,10,0.19,87,-5,0
Kyle Schmidt,D,61,2,8,10,0.16,36,8,0
Tanner Muth,D,71,1,9,10,0.14,61,-11,0
Spencer Main,C,12,5,4,9,0.75,12,-3,0
Brendan Hurley,LW,49,5,4,9,0.18,62,-1,0
Joey Baker,RW,68,4,5,9,0.13,50,-8,0
Marc MacKenzie,C,31,3,6,9,0.29,28,-4,0
Tanner Olstad,C,63,3,6,9,0.14,45,-12,0
Erik Fleming,D,40,1,8,9,0.23,23,-7,0
Daniel Gibb,D,55,1,8,9,0.16,71,-5,0
Sawyer Lange,D,58,1,8,9,0.16,22,-19,0
Rob Trzonkowski,RW,60,1,8,9,0.15,114,-12,0
Rene Hunter,D,62,1,8,9,0.15,25,-6,0
MacKenzie Johnston,D,70,1,8,9,0.13,21,-16,0
Tanner Mort,D,36,0,9,9,0.25,32,13,0
Manraj Singh Hayer,C,18,5,3,8,0.44,10,-4,0
Tanner Moar,D,65,5,3,8,0.12,32,-5,0
Joshua Lazowski,C,17,4,4,8,0.47,8,3,0
Tyler Kizuik,D,58,4,4,8,0.14,43,-24,0
Cody Thiel,RW,53,2,6,8,0.15,26,-3,0
Ryan Chynoweth,LW,66,2,6,8,0.12,40,-15,0
Tyler Hart,D,52,1,7,8,0.15,100,-13,0
Charles Wells,C,31,4,3,7,0.23,4,-5,0
Jason Fram,D,51,4,3,7,0.14,22,7,0
Marcus Messier,C,46,3,4,7,0.15,18,-5,0
Daniel Dale,LW,65,3,4,7,0.11,103,-8,0
Jessey Astles,LW,42,2,5,7,0.17,84,-5,0
Jacob Doty,C,55,2,5,7,0.13,107,-10,0
Kiefer McNaughton,D,42,1,6,7,0.17,54,15,0
Spencer Galbraith,RW,59,0,7,7,0.12,82,-16,0
Brock Balson,RW,42,3,3,6,0.14,12,-9,0
Linden Springer,D,56,3,3,6,0.11,89,-9,0
Evan Morden,D,58,3,3,6,0.1,60,-21,0
Josh Cowen,RW,25,2,4,6,0.24,49,-2,0
Lukas Kralik,C,42,2,4,6,0.14,35,-13,0
Cole Wedman,D,51,2,4,6,0.12,24,2,0
Austin Daae,LW,52,2,4,6,0.12,19,-6,0
Stephen Hak,D,55,2,4,6,0.11,10,2,0
Josh Smith,D,31,1,5,6,0.19,77,-15,0
Landon Cross,D,46,1,5,6,0.13,29,2,0
Jesse Knowler,LW,57,1,5,6,0.11,16,-9,0
Spenser Jensen,D,42,0,6,6,0.14,37,1,0
Cole Benson,C,46,5,0,5,0.11,4,-8,0
Jason Trott,C,36,4,1,5,0.14,36,-5,0
Trevor Cameron,RW,20,3,2,5,0.25,15,-16,0
Carter Proft,C,50,3,2,5,0.1,60,-1,0
Carson Perreaux,LW,43,2,3,5,0.12,13,-4,0
Trent Lofthouse,RW,58,2,3,5,0.09,24,-21,0
Mitch Elliot,LW,65,2,3,5,0.08,92,-19,0
Zach Habscheid,D,41,1,4,5,0.12,31,-14,0
Vladimir Dolnik,LW,27,0,5,5,0.19,20,-1,0
Jeff Hubic,LW,53,0,5,5,0.09,75,-10,0
Mason Burr,RW,60,3,1,4,0.07,23,-8,0
Sebastian Svendsen,C,11,2,2,4,0.36,0,0,0
Tayler Thompson,C,16,2,2,4,0.25,13,-15,0
Adam Rehak,LW,16,2,2,4,0.25,38,2,0
Max Moline,C,21,2,2,4,0.19,2,-5,0
Shea Howorko,F,30,2,2,4,0.13,51,-13,0
Cason Machacek,D,50,2,2,4,0.08,135,-8,0
Jared Hauf,D,56,2,2,4,0.07,32,-32,0
Tyson Dallman,C,38,1,3,4,0.11,25,0,0
Blake Orban,D,43,1,3,4,0.09,67,4,0
Kyle Haas,D,46,1,3,4,0.09,106,-6,0
Devan Fafard,D,48,1,3,4,0.08,87,-18,0
Spencer Wand,D,52,1,3,4,0.08,98,-13,0
Mike Simpson,D,52,1,3,4,0.08,52,-3,0
Austin Ferguson,RW,56,1,3,4,0.07,8,-13,0
Chance Braid,LW,62,1,3,4,0.06,54,-17,0
Evan Wardley,D,29,0,4,4,0.14,43,-15,0
Justin Hamonic,D,39,0,4,4,0.1,20,-2,0
Chad Labelle,C,11,2,1,3,0.27,0,3,0
Austin Adam,D,46,2,1,3,0.07,4,-9,0
Matt Waseylenko,D,4,1,2,3,0.75,0,-1,0
Zach Hodder,D,12,1,2,3,0.25,4,-3,0
Scott Cooke,RW,34,1,2,3,0.09,64,-3,0
Albin Blomqvist,D,38,1,2,3,0.08,74,-8,0
Brett Brooks,LW,38,1,2,3,0.08,10,-4,0
Tyler King,D,42,1,2,3,0.07,16,0,0
Kayle Doetzel,D,43,1,2,3,0.07,33,-22,0
Riley Sheen,LW,46,1,2,3,0.07,13,-4,0
Aaron Borejko,D,32,0,3,3,0.09,22,1,0
Tommy Stipancik,D,34,0,3,3,0.09,13,-1,0
Eric Walker,D,39,0,3,3,0.08,46,-5,0
Layne Viveiros,D,39,0,3,3,0.08,11,4,0
Michael Mylchreest,D,64,0,3,3,0.05,4,-13,0
Mackenzie Royer,LW,3,1,1,2,0.67,4,1,0
Kevin Pochuk,D,8,1,1,2,0.25,2,-1,0
Brock Hirsche,C,8,1,1,2,0.25,7,0,0
Luke Philp,C,17,1,1,2,0.12,2,-3,0
Dylan Kuczek,D,33,1,1,2,0.06,27,-5,0
Riley Guenther,D,38,1,1,2,0.05,30,-14,0
Lucas Nickles,LW,44,1,1,2,0.05,32,-7,0
Greg Lamoureux,RW,7,0,2,2,0.29,0,-4,0
Scott Feser,LW,9,0,2,2,0.22,0,2,0
Landon Peel,D,19,0,2,2,0.11,13,-5,0
Nils Moser,RW,23,0,2,2,0.09,15,-5,0
Carson Samoridny,RW,33,0,2,2,0.06,15,-5,0
Taylor Crunk,LW,39,0,2,2,0.05,22,-13,0
Braiden Doucette,D,46,0,2,2,0.04,7,4,0
Lukas Walter,LW,49,0,2,2,0.04,89,-2,0
Austin Bourhis,LW,63,0,2,2,0.03,129,-19,0
Taylor Green,D,3,1,0,1,0.33,0,1,0
Jordan Thomson,D,4,1,0,1,0.25,0,0,0
Dalton Olsen,D,4,1,0,1,0.25,6,-5,0
Ryan Graham,LW,5,1,0,1,0.2,0,-4,0
John Odgers,LW,8,1,0,1,0.13,18,-1,0
Tyler Giebel,C,9,1,0,1,0.11,2,-3,0
Brendan Persley,LW,9,1,0,1,0.11,18,-7,0
Logan Harland,LW,10,1,0,1,0.1,2,-1,0
Joey Santucci,RW,11,1,0,1,0.09,14,-8,0
Brodyn Nielsen,LW,14,1,0,1,0.07,14,-1,0
T.J. Constant,C,15,1,0,1,0.07,5,-1,0
Pearce Eviston,RW,18,1,0,1,0.06,34,-5,0
Luke Mahura,RW,39,1,0,1,0.03,6,-11,0
Hunter Shinkaruk,C,66,49,42,91,1.38,38,17,1
Brenden Kichton,D,71,17,57,74,1.04,49,24,1
JC Lipon,RW,69,19,46,65,0.94,111,23,1
Sam Reinhart,C,67,28,34,62,0.93,2,16,1
Ryan Pulock,D,71,19,41,60,0.85,20,33,1
Lukas Sutter,C,70,28,31,59,0.84,165,15,1
Eric Roy,D,69,11,42,53,0.77,55,-1,1
Myles Bell,LW,54,15,26,41,0.76,55,-18,1
Josh Morrissey,D,68,10,28,38,0.56,60,-2,1
Morgan Klimchuk,LW,67,18,18,36,0.54,27,3,1
Nic Petan,C,61,14,21,35,0.57,22,7,1
Shea Theodore,D,69,4,31,35,0.51,30,-36,1
Curtis Lazar,C,63,20,11,31,0.49,56,15,1
Chase De Leo,C,69,14,16,30,0.43,25,12,1
Greg Chase,C,60,6,22,28,0.47,41,2,1
Madison Bowey,D,57,8,13,21,0.37,39,3,1
Cole Ully,LW,55,9,11,20,0.36,2,7,1
Jackson Houck,RW,53,8,12,20,0.38,39,15,1
Austin Carroll,RW,62,8,12,20,0.32,80,-12,1
Tyrell Goulbourne,LW,63,6,8,14,0.22,109,-8,1
Jaedon Descheneau,RW,54,3,11,14,0.26,24,-7,1
Dillon Heatherington,D,57,2,8,10,0.18,63,2,1
Kyle Burroughs,D,55,2,6,8,0.15,54,7,1
Reid Duke,C,12,2,4,6,0.5,8,1,1
Jake Virtanen,RW,9,3,1,4,0.44,4,3,1
Mason Geertsen,D,34,0,3,3,0.09,70,5,1
Tyler Lewington,D,44,0,3,3,0.07,46,7,1
Conner Bleackley,C,16,2,0,2,0.13,6,-5,1
Keegan Kanzig,D,63,0,2,2,0.03,66,-17,1
Brayden Point,C,5,1,0,1,0.2,0,2,1
Justin Kirkland,LW,6,0,1,1,0.17,0,0,1
Brandon Baddock,LW,1,0,0,0,0,0,0,1
Keegan Iverson,RW,1,0,0,0,0,0,0,1
Colby Williams,D,1,0,0,0,0,2,0,1
Dominic Turgeon,C,1,0,0,0,0,0,0,1
Tanner Faith,D,1,0,0,0,0,0,0,1
Ben Betker,D,1,0,0,0,0,0,1,1
Ryan Pilon,D,2,0,0,0,0,0,-4,1
Brett Lernout,D,2,0,0,0,0,0,-2,1
Brycen Martin,D,3,0,0,0,0,0,-3,1
Haydn Fleury,D,4,0,0,0,0,0,1,1
Nelson Nogier,D,4,0,0,0,0,0,-4,1
Marc McNulty,D,21,0,0,0,0,8,-6,1
Justin Feser,C,72,44,62,106,1.47,57,20,0
Curtis Valk,C,71,46,45,91,1.28,54,-6,0
Cody Sylvester,C,68,41,49,90,1.32,49,27,0
Dylan Wruck,LW,68,22,63,85,1.25,14,23,0
Lane Scheidl,LW,72,41,39,80,1.11,62,-8,0
Mitch Holmberg,RW,66,39,41,80,1.21,22,16,0
Brady Brassart,C,65,35,43,78,1.2,88,40,0
Todd Fiddler,LW,70,42,35,77,1.1,39,20,0
Brenden Walker,RW,72,33,43,76,1.06,60,23,0
Sam Fioretti,C,72,32,43,75,1.04,69,-22,0
Elgin Pearce,C,71,29,46,75,1.06,66,0,0
T.J. Foster,C,69,27,47,74,1.07,22,34,0
Zach Franko,LW,69,24,48,72,1.04,11,20,0
Mike Aviani,C,71,30,38,68,0.96,90,37,0
Malte Strömwall,RW,66,21,45,66,1,36,9,0
Alexander Gogolev,LW,49,20,45,65,1.33,36,7,0
Trevor Cheek,LW,71,32,28,60,0.85,57,12,0
Brandon Magee,C,72,30,30,60,0.83,79,-6,0
Dylan Walchuk,F,70,20,40,60,0.86,60,16,0
Rhyse Dieno,RW,48,27,32,59,1.23,8,17,0
Connor Rankin,C,71,32,26,58,0.82,34,9,0
Roberts Lipsbergs,W,64,30,28,58,0.91,24,-11,0
Turner Elson,LW,64,26,31,57,0.89,60,26,0
Anthony Bardaro,C,70,25,32,57,0.81,48,-12,0
Tyson Baillie,C,67,26,30,56,0.84,53,36,0
Dakota Conroy,RW,68,21,35,56,0.82,42,11,0
Russell Maxwell,C,66,22,33,55,0.83,91,-3,0
Cain Franson,LW,60,29,25,54,0.9,44,-16,0
Connor Honey,RW,57,16,38,54,0.95,58,-9,0
Jamie Crooks,LW,69,33,20,53,0.77,26,-15,0
Alessio Bertaggia,LW,46,29,24,53,1.15,34,11,0
Ben Walker,C,59,19,33,52,0.88,54,18,0
Boston Leier,LW,72,18,34,52,0.72,56,3,0
Joshua Winquist,LW,51,24,27,51,1,61,7,0
Nathan Burns,LW,70,20,31,51,0.73,63,-3,0
Brendan Rouse,C,71,14,37,51,0.72,22,-14,0
Reid Gow,D,64,7,44,51,0.8,80,29,0
Jaimen Yakubowski,LW,66,32,18,50,0.76,126,-6,0
Luke Lockhart,RW,72,25,24,49,0.68,19,-29,0
Alex Roach,D,62,15,34,49,0.79,72,42,0
Brock Montgomery,RW,58,31,17,48,0.83,76,11,0
Landon Oslanski,D,72,17,31,48,0.67,96,-22,0
Seth Swenson,RW,72,18,28,46,0.64,39,-6,0
Luke Philp,C,66,20,25,45,0.68,24,3,0
Tim McGauley,C,66,17,28,45,0.68,6,-8,0
Zane Jones,LW,69,21,23,44,0.64,51,15,0
Parker Bowles,LW,71,21,23,44,0.62,53,4,0
Sam McKechnie,RW,72,26,17,43,0.6,44,-8,0
Logan McVeigh,C,73,19,24,43,0.59,51,2,0
Dyson Stevenson,W,62,16,27,43,0.69,120,-9,0
Matthew Pufahl,D,69,6,37,43,0.62,21,11,0
Justin Kirsch,LW,65,23,19,42,0.65,23,-19,0
Cody Fowlie,RW,66,17,25,42,0.64,50,33,0
Taylor Peters,C,68,15,27,42,0.62,61,27,0
Brady Ramsay,RW,65,14,28,42,0.65,135,-7,0
Dylan Busenius,D,71,8,34,42,0.59,45,-32,0
Cody Corbett,D,71,7,35,42,0.59,48,38,0
Collin Valcourt,LW,73,24,17,41,0.56,46,75,0
Colby Cave,C,72,21,20,41,0.57,39,1,0
